id,symbol,avg_diff|float,p_val|float,_hprdClass,_expr,_geneLists,class
HES1,HES1,1.97135,0,Transcription factor,"BrainSpLMD|3280;Eurexp|euxassay_019489|epithelium, floor plate, floorplate, hindgut, incisor, larynx, lung, metanephros, metatarsus, midgut, molar, neural retina, oesophagus, olfactory, oral epithelium, pancreas, phalanx, pharyngo-tympanic tube, skeleton, stomach, submandibular gland primordium, thymus primordium, thyroid, trachea, urethra, ventricular layer, vibrissa, vomeronasal organ;BrainSpMouseDev|14981",OMIM|139605,vRG
TBL1X,TBL1X,1.96013,9.49e-06,Cell cycle control protein,BrainSpLMD|6907,"SFARI||Autism, 4 - Minimal evidence;OMIM|300196",vRG
F3,F3,1.95362,0,Coagulation factor,"BrainSpLMD|2152;Eurexp|euxassay_009157|axial muscle, calyces, epithelium, larynx, left lung, midgut, olfactory, oral epithelium, pelvis, pharyngo-tympanic tube, pyloric region, rectum, right lung, ventricular layer, vibrissa",OMIM|134390,vRG
Z83001.1,Z83001.1,1.94095,0,"","","",vRG
ANGPTL1,ANGPTL1,1.93569,3.34e-08,Secreted polypeptide,"BrainSpLMD|9068;Eurexp|euxassay_011312|axial skeleton, basioccipital bone, basisphenoid bone, cartilaginous ring, diaphragm, greater sac, handplate, mesenchyme, midgut, naris, oesophagus, orbito-sphenoid, otic capsule, peritoneal cavity, rectum, rib, skeletal muscle, sternum, turbinate bones, valve;BrainSpMouseDev|48554",OMIM|603874,vRG
MT2A,MT2A,1.93479,1.24e-09,Unclassified,"Eurexp|euxassay_004529|left, oesophagus, pancreas, pharyngo-tympanic tube, right, stomach, submandibular gland primordium, thyroid, vibrissa",OMIM|156360,vRG
TFAP2C,TFAP2C,1.90351,0,Transcription factor,BrainSpLMD|7022;BrainSpMouseDev|21181,OMIM|601602,vRG
RHOJ,RHOJ,1.8932,9.61e-12,GTPase,"BrainSpLMD|57381;Eurexp|euxassay_002084|alimentary system, cavities and their linings, gland, integumental system, limb, meninges, mesenchyme, renal/urinary system, reproductive system, respiratory system, tail, vertebral axis muscle system",OMIM|607653,vRG
PPAP2B,PPAP2B,1.88436,0,"","","",vRG
NOG,NOG,1.87707,1.37e-11,Secreted polypeptide,"BrainSpLMD|9241;Eurexp|euxassay_009618|axial skeleton, mandible, mantle layer, nasal septum, otic capsule, phalanx, rib, sternum, thyroid, turbinate bones, ventral grey horn;BrainSpMouseDev|17888","OMIM|602991;HPO|9241|2-3 toe syndactyly, Abnormal vertebral morphology, Abnormality of the ankles, Absent distal interphalangeal creases, Absent distal phalanges, Absent fingernail, Absent phalangeal crease, Anonychia, Aplasia/Hypoplasia of the distal phalanges of the hand, Aplasia/Hypoplasia of the distal phalanges of the toes, Aplasia/Hypoplasia of the middle phalanges of the hand, Aplasia/Hypoplasia of the middle phalanges of the toes, Aplasia/Hypoplasia of the nails, Aplastic/hypoplastic toenail, Autosomal dominant inheritance, Brachydactyly, Broad hallux, Broad thumb, Camptodactyly of finger, Carpal synostosis, Clinodactyly, Conductive hearing impairment, Congenital stapes ankylosis, Cubitus valgus, Cutaneous finger syndactyly, Cutaneous syndactyly of toes, Dislocated radial head, Elbow ankylosis, Elbow dislocation, Enlargement of the costochondral junction, Finger syndactyly, Fusion of midphalangeal joints, Hypermetropia, Hypoplastic nasal septum, Hypoplastic spinal processes, Long nose, Low hanging columella, Lower limb undergrowth, Metacarpophalangeal synostosis, Narrow face, Pectus excavatum, Progressive conductive hearing impairment, Progressive fusion 2nd-5th pip joints, Proximal placement of thumb, Proximal symphalangism, Proximal symphalangism of hands, Proximal/middle symphalangism of 5th finger, Radial deviation of finger, Sensorineural hearing impairment, Short 1st metacarpal, Short 5th metacarpal, Short distal phalanx of finger, Short distal phalanx of toe, Short finger, Short foot, Short hallux, Short humerus, Short lower limbs, Short philtrum, Short stature, Short sternum, Single transverse palmar crease, Spinal canal stenosis, Stapes ankylosis, Strabismus, Symphalangism affecting the phalanges of the hand, Synostosis of carpal bones, Tarsal synostosis, Thick upper lip vermilion, Thin upper lip vermilion, Toe syndactyly, Type B brachydactyly, Underdeveloped nasal alae, Waddling gait",vRG
TMEM65,TMEM65,1.87269,1.51e-05,Integral membrane protein,BrainSpLMD|157378,OMIM|616609,vRG
PSAT1,PSAT1,1.86832,0,Enzyme: Aminotransferase,"BrainSpLMD|29968;Eurexp|euxassay_001596|cranium, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa","OMIM|610936;HPO|29968|Abnormality of the philtrum, Abnormality of the pinna, Absent septum pellucidum, Ambiguous genitalia, Aplasia/Hypoplasia involving the skeletal musculature, Autosomal recessive inheritance, Broad foot, Cerebellar hypoplasia, Cerebellar vermis hypoplasia, Cleft palate, Congenital onset, Dandy-Walker malformation, Decreased fetal movement, Depressed nasal ridge, Everted lower lip vermilion, External genital hypoplasia, Feeding difficulties in infancy, Global developmental delay, High palate, Hypertelorism, Hypertonia, Hypoglycinemia, Hypogonadism, Hyposerinemia, Ichthyosis, Infantile onset, Intrauterine growth retardation, Lack of skin elasticity, Large hands, Lissencephaly, Low-set ears, Macrogyria, Macrotia, Microcephaly, Micrognathia, Muscle cramps, Muscular dystrophy, Opisthotonus, Pachygyria, Polyhydramnios, Polymicrogyria, Postnatal microcephaly, Proptosis, Rocker bottom foot, Scoliosis, Seizures, Short neck, Skeletal muscle atrophy, Sloping forehead, Thick vermilion border, Trismus",vRG
SHROOM3,SHROOM3,1.8681,1.3e-11,Adapter molecule,"BrainSpLMD|57619;Eurexp|euxassay_012216|cortex, midgut, olfactory, ventricular layer, vertebral axis muscle system",OMIM|604570,vRG
LIFR,LIFR,1.86069,0,Cytokine receptor,"BrainSpLMD|3977;Eurexp|euxassay_010649|axial muscle, dorsal root ganglion, extrinsic ocular muscle, facial VII, glossopharyngeal IX, mandible, mantle layer, maxilla, orbito-sphenoid, thymus primordium, thyroid, tongue, trigeminal V, vagus X, ventral grey horn, vestibulocochlear VIII, vibrissa;BrainSpMouseDev|16651","OMIM|151443;COSMIC||salivary adenoma;HPO|3977|Abnormal metaphyseal trabeculation, Abnormality of dental enamel, Abnormality of vision, Absent patellar reflexes, Adducted thumb, Apnea, Asthma, Autosomal recessive inheritance, Blotching pigmentation of the skin, Broad ischia, Camptodactyly of finger, Contracture of the proximal interphalangeal joint of the 5th finger, Dysautonomia, Dysphagia, Elbow flexion contracture, Enlarged joints, Episodic fever, Feeding difficulties, Feeding difficulties in infancy, Femoral bowing, Flared metaphysis, Flexion contracture of toe, Frontal bossing, Generalized hypotonia, Genu valgum, Hoarse voice, Hyperhidrosis, Hypohidrosis, Hypoplastic iliac body, Impaired pain sensation, Intrauterine growth retardation, Knee flexion contracture, Lacrimation abnormality, Low-set ears, Malar flattening, Metaphyseal rarefaction, Metaphyseal widening, Micrognathia, Micromelia, Midface retrusion, Myotonia, Nasal speech, Oligohydramnios, Opacification of the corneal stroma, Osteopenia, Osteoporosis, Paresthesia, Pathologic fracture, Pulmonary arterial hypertension, Pulmonary arterial medial hypertrophy, Pulmonary hypoplasia, Pursed lips, Recurrent fractures, Respiratory distress, Respiratory insufficiency, Scoliosis, Short neck, Short nose, Short palpebral fissure, Short phalanx of finger, Short stature, Short tibia, Single transverse palmar crease, Skeletal dysplasia, Smooth tongue, Square face, Talipes, Talipes equinovarus, Talipes valgus, Thickened cortex of long bones, Thin ribs, Thin skin, Tibial bowing, Trismus, Ulnar deviation of finger, Wide nasal base",vRG
C8orf4,C8orf4,1.85358,0,"","","",vRG
PREX2,PREX2,1.84824,0,Guanine nucleotide exchange factor,BrainSpLMD|80243,"OMIM|612139;COSMIC||melanoma, pancreatic ductal adenocarcinoma",vRG
MLC1,MLC1,1.83079,3.11e-15,Membrane transport protein,BrainSpLMD|23209;Eurexp|euxassay_010374|ventricular layer,"OMIM|605908;HPO|23209|Ataxia, Autosomal recessive inheritance, Diffuse spongiform leukoencephalopathy, Diffuse swelling of cerebral white matter, Infantile onset, Intellectual disability, mild, Macrocephaly, Megalencephaly, Motor delay, Seizures, Spasticity",vRG
ARAP2,ARAP2,1.82451,1.07e-09,GTPase activating protein,BrainSpLMD|116984,OMIM|606645,vRG
IQGAP2,IQGAP2,1.81995,1.11e-16,GTPase activating protein,"BrainSpLMD|10788;Eurexp|euxassay_013405|adrenal gland, incisor, intervertebral disc, lobe, mandible, mesenchyme, metanephros, midgut, oesophagus, skeletal muscle, stomach, thymus primordium, ventricular layer, vertebral axis muscle system, vertebral cartilage condensation",OMIM|605401,vRG
SALL3,SALL3,1.81758,0,DNA binding protein,"BrainSpLMD|27164;Eurexp|euxassay_010911|cochlea, glomeruli, inner ear, lip, mantle layer, medulla oblongata, palatal shelf, penis, utricle, valve, ventricular layer;BrainSpMouseDev|20451",OMIM|605079,vRG
KIAA1161,KIAA1161,1.81625,2.68e-06,"","","",vRG
LAMA1,LAMA1,1.81203,3.64e-13,Extracellular matrix protein,"BrainSpLMD|284217;Eurexp|euxassay_011017|epithelium, glomeruli, lens, meninges, renal/urinary system, ventricular layer;BrainSpMouseDev|16544","SFARI||Autism, 4 - Minimal evidence;OMIM|150320;HPO|284217|Abnormality of the periventricular white matter, Amblyopia, Autosomal recessive inheritance, Cerebellar cyst, Cerebellar dysplasia, Cerebellar vermis hypoplasia, Delayed speech and language development, Dilated fourth ventricle, Motor delay, Myopia, Nystagmus, Oculomotor apraxia, Retinal atrophy, Retinal dystrophy, Retinal thinning, Strabismus, Variable expressivity",vRG
ATP1B2,ATP1B2,1.80974,0,ATPase,"BrainSpLMD|482;Eurexp|euxassay_011653|lobe, pituitary, ventral grey horn, ventricular layer;BrainSpMouseDev|11718",OMIM|182331,vRG
DACH1,DACH1,1.80808,0,Transcription regulatory protein,"BrainSpLMD|1602;Eurexp|euxassay_012739|associated mesenchyme, bladder, calyces, cortex, dermis, dorsal root ganglion, facial VII, left lung, mantle layer, meninges, midgut, olfactory, oral region, pelvis, penis, retina, right lung, stomach, thymus primordium, trigeminal V, ureter, urethra, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|12914",OMIM|603803,vRG
